primary_artist,country,songs,plays
Liz Callaway,US,1,98
Martin Solveig,FR,3,98
Placebo,GB,5,98
Wulf Morpheus,US,1,98
Aden Foyer,NO,1,97
Chris Webby,US,4,97
Dolly Parton,US,1,97
Jordy Chandra,JP,1,97
Marie Laforet,FR,1,97
Miguel Bose,ES,1,97
Mommy,,1,97
Mos Def,US,2,97
Scatman John,US,1,97
Surf Mesa,US,1,97
ALTÉGO & Ely Oaks & LAVINIA,GB,1,96
Elvis Presley,US,4,96
Gil Scott Heron & Moullinex & Bon Entendeur,FR,1,96
DaJugglingFool,US,1,95
Hoogway,BE,1,95
Kosibeats,NL,1,95
The Alan Parsons Project,GB,1,95
"Claude François, G. Thibault, J. Revaux & Paul Anka",FR,3,94
No Doubt,US,2,94
Brillion,NL,1,93
Imagination,GB,2,93
Iro(Artist),GB,1,93
Nelly Furtado,US,6,93
ROSÉ & Bruno Mars,KR,1,93
Sash!,DE,1,93
Sinik,FR,4,93
Tabal(Artist),FR,1,93
Mr President,DE,1,92
Pas Sages,FR,1,92
Soul Bells & MACROSS 82-99,MX,1,92
Tipling Rock,US,2,92
Tiësto & Mabel,,1,92
Claire Laffut,FR,1,91
Damso,FR,2,91
Ehrling,SE,1,91
Indochine,FR,3,91
Luis Fonsi & Demi Lovato,US,1,91
The Contours,US,1,91
The Friends of Distinction,US,1,91
The Swiss,CH,1,91
Timbaland,US,5,91
Toonorth,US,1,91
Towkio,CA,1,91
Choices,FR,1,90
Jupiter,FR,1,90
Le Club,FR,1,90
Nanidato,JP,1,90
Put Put,US,1,90
The Kid Laroi & Justin Bieber,AU,1,90
Vaudeville Smash,AU,1,90
Creedence Clearwater Revival,US,2,89
Sonia Rosa & Night Tempo,KR,1,89
Sza,US,2,89
Tom Cochrane,CA,1,89
Darius,FR,3,88
Grand popo football club,FR,1,88
Jean-Louis Aubert,FR,2,88
Kaolin,FR,1,88
Ke$ha,US,4,88
Nicky Jam,CO,1,88
"Ozuna, RedOne  & Maitre Gims",,1,88
Psg,FR,1,88
Rod Stewart,GB,1,88
Social Justice - The musical,US,1,88
Vengaboys,NL,2,88
Animotion,US,1,87
Chris Brown,US,4,87
Eddy Mitchell,FR,2,87
Jean-Jacques Goldman,FR,3,87
Kid Cudi,US,3,87
Louise Attaque,FR,2,87
Paul Kalkbrenner,DE,1,87
Hellogoodbye,US,1,86
Infant Sorrow,GB,3,86
Jim Yosef,SE,1,86
Nayla & Bon Entendeur,FR,1,86
Rohff,FR,3,86
Soliterre,CA,1,86
SunStroke Project & Olia Tira,MD,1,86
The King Khan & BBQ Show,CA,1,86
Aaron Smith,FR,1,85
Armand Van Helden,US,1,85
Asaf Avidan,IL,1,85
Ceruleancerise,CA,1,85
D12,US,1,85
Daze,FR,1,85
Escort,US,1,85
Jay-Z,US,2,85
Katy Perry,US,4,85
Mabel,ES,1,85
Paul Simon,US,1,85
Rammstein,DE,2,85
Stan Getz & Joao Gilberto,BR,1,85
System of a Down,US,2,85
The Presets & Lifelike,FR,1,85
Todd Rundgren,US,1,85
Candid,CA,1,84
Dire Straits,GB,1,84
IdChief,US,1,84
Mickey 3D,FR,2,84
Psychemagik,GB,3,84
Deorro,US,1,83
Future Girlfriend,PY,1,83
Goldfish,ZA,1,83
Kendji Girac,FR,1,83
Molchat Doma,RU,1,83
Muse,GB,4,83
The Crusaders & Synapson,FR,1,83
The Doors,US,3,83
Tokio Hotel,DE,6,83
Tomoko Aran,JP,2,83
deadmau5,CA,2,83
Dalida,FR,1,82
George Michael,GB,1,82
Gilbert Montagne,FR,1,82
Klingande,FR,2,82
Lola Marsh,IL,1,82
Lorie,FR,3,82
Niall Horan & Anne-Marie,GB,1,82
Raki,DE,1,82
ZZ Top,US,1,82
Zoot Woman & Le Knight Club,FR,1,82
50 Cent,US,5,81
Alkalino & Bon Entendeur,FR,1,81
Digitalism,DE,2,81
Djeko & Torres,NL,1,81
Myles Smith,GB,2,81
Niagara,FR,1,81
Our Samplus & Bon Entendeur,FR,1,81
Raphael,FR,3,81
Texas,GB,2,81
Avril Lavigne,CA,3,80
Borgore,IL,4,80
Fool's Garden,GB,1,80
James Brown,US,2,80
Lou Rawls,US,1,80
Offenbach,FR,2,80
Yelle,FR,2,80
Ace of Base,SE,2,79
College,FR,1,79
Deadmau5,CA,4,79
Dwig,SI,1,79
Kaoma,FR,1,79
Technotronic,BE,1,79
The All-American Rejects,US,3,79
BTS,KR,1,78
Barry Manilow,US,1,78
Blink-182,US,1,78
Matt & Kim,US,2,78
Mirwais,FR,1,78
Nicki Minaj,US,3,78
Noir Desir,FR,2,78
Orishas,FR,1,78
Sonny & Cher,US,1,78
T.A.T.U,RU,1,78
Toybox,DK,1,78
A.Dd+,US,1,77
Alfie Templeman,GB,1,77
AnTgry,FR,1,77
Basshunter,SE,2,77
Gavinco,GB,1,77
Kany West & Lil Pump,US,1,77
Kygo & Selena Gomez,NO,1,77
"Myth Syzer (Ft. Bonnie Banane, Ichon & Muddy Monk)",FR,1,77
Public(Band),US,1,77
Skrillex,US,3,77
TSR Crew,FR,1,77
The Dinosaurs Skin,TW,1,77
The Jimi Hendrix Experience,US,1,77
Umberto Tozzi,IT,2,77
Aritus,US,2,76
Benjamin Diamond,FR,1,76
Bennett & Bruno Coulais,FR,1,76
Indila,FR,1,76
Snoop Dogg,FR,6,76
T-Pain,US,2,76
Ween,US,1,76
Arcade Fire,CA,1,75
Bob Dylan,US,3,75
Daniel Powter,CA,1,75
FUR,GB,1,75
Floating Points,GB,1,75
Glass Animals,GB,1,75
Radiohead,GB,1,75
Soklak,FR,3,75
Tommy Tutone,US,1,75
C2C,FR,3,74
Gael Faye,FR,1,74
La Femme,FR,1,74
Otis Redding,US,1,74
Richard Marx,US,2,74
The Supremes,US,1,74
The Telephone Hour,US,1,74
ATC,DE,1,73
Beach House,US,1,73
BradBroooks,US,1,73
Charlotte Cardin,CA,1,73
Dertay,FR,1,73
FKJ,FR,2,73
IAn Pooley & Daft Punk,FR,1,73
Kraftwerk,DE,2,73
Leon Haywood & Bon Entendeur,FR,1,73
Nicola Cruz,FR,1,73
Pascal Letoublon,FR,1,73
Santana,US,2,73
Simone,EG,1,73
The Calling,US,1,73
Vicetone,NL,1,73
Alizée,FR,2,72
Internet Affairs,JP,1,72
Oliver Heldens,NL,2,72
Pomplamoose & Daft Punk,FR,1,72
Billy Walker,US,1,71
Dynoro & Mike Demero,CA,1,71
Jim Carrey,CA,1,71
KT Tunstall,GB,2,71
LeAnn Rimes,US,1,71
Martin Garrix,NL,3,71
Saint Motel,US,1,71
Scissor Sisters,US,1,71
Sheryl Crow,US,3,71
Superfunk,FR,1,71
Supreme NTM,FR,2,71
The Pogues,IE,1,71
Bobby Bare,US,1,70
Fatal Bazooka,FR,4,70
Johnny Jane,FR,1,70
Maurice Chevalier,FR,2,70
Moodyman,US,2,70
Omega Tribe,JP,1,70
Peach Tree Rascals,US,1,70
Peter Bjorn,,1,70
The Piano Guys,US,1,70
Tones,,1,70
Vanity 6,CA,1,70
Bag Raiders,AU,1,69
Cee Lo Green,GB,3,69
Grover Washington Jr,US,1,69
John Grant,US,1,69
Juniore,FR,1,69
Louis Prima,US,2,69
Mike Posner,US,2,69
Naps,FR,1,69
The Animals,GB,1,69
Tracy Chapman,US,2,69
McFadden & Whitehead,US,1,68
OrelSan & Damso,FR,1,68
The Prince Karma,TR,1,68
The Rapture,US,2,68
The Velvet Underground,US,1,68
Thoma Cher & Bon Entendeur,FR,1,68
Unknown,US,3,68
Andy Grammer,US,2,67
Bonnie Tyler,GB,2,67
Cavi,UA,1,67
Jessie J,GB,1,67
Kim Petras,DE,2,67
Miel De Montagne,FR,1,67
Nytron & Sugar Hill,BR,1,67
Takako Mamiya,JP,1,67
The Miracles,US,1,67
24kGoldn,US,1,66
Bearson & Lemaitre,NO,1,66
Bob Sinclar,FR,3,66
Bruno Mars,US,3,66
Cali,FR,2,66
Cherie,FR,1,66
Chris Isaak,US,2,66
Gramatik,SI,3,66
Jack Johnson,US,3,66
Jonas Brothers,US,3,66
Junkie XL,NL,2,66
Knightlife,GB,1,66
Maitre Gims,FR,1,66
Max Berlin,FR,1,66
Olivia Ruiz,FR,3,66
Steely Dan,US,2,66
The Bloody Beetroots,IT,3,66
Wallpaper.,US,1,66
Zedd,RU,2,66
Alice Deejay,NL,1,65
Bobby Bloom,US,1,65
Boston,US,1,65
Charlie Faron,FR,1,65
Coke Royalty,US,1,65
Early Eyes,US,2,65
Gibson Brothers,FR,1,65
Late Night Tuff Guy & Bon Entendeur,FR,1,65
Max Frost,US,1,65
Melanie Martinez,US,1,65
Oxmo Puccino,FR,1,65
Rocketman,JP,1,65
Semisonic,US,1,65
Skibblez & DeeJMD,CA,1,65
Stealers Wheel,GB,1,65
Zai Kowen,AR,1,65
50 cent & Benny Bennassi,IT,1,64
Augie Rios,MX,1,64
Bella Poarch,US,1,64
Boy Meets Girl,US,1,64
Capital Cities,US,1,64
Daniel Guichard,FR,1,64
Dave Loggins,US,1,64
Krewella,US,1,64
LEEX & Mattafix,DE,1,64
Lil Wayne,US,4,64
Mase,US,1,64
Plastic Bertrand,CA,1,64
R.E.M.,US,2,64
Sergio Mendes,BR,3,64
Sharon Brown,US,1,64
Squeeze,GB,1,64
Static,,1,64
The Chords,US,1,64
The F16s,IN,1,64
The Whitest Boy Alive & Fred Falke,FR,1,64
Village People,US,2,64
Aminé,US,1,63
De Soffer & Les Bisous,FR,1,63
Enrique Iglesias,ES,3,63
Freeze Corleone 667,FR,1,63
Giorgio Moroder,IT,1,63
Junior Senior,DK,2,63
Laura Branigan,US,2,63
Marlena Shaw,US,1,63
Mister Gavin,US,1,63
Roy Ayers Ubiquity,US,1,63
Starsailor,GB,2,63
The Who,GB,3,63
Toploader,GB,1,63
Zager & Evans,US,1,63
BØRNS,US,2,62
Counting Crows,US,2,62
Danger,FR,1,62
Début de Soiree,FR,1,62
Justin Timberlake,US,4,62
Major Lazer,US,2,62
Steve Aoki,US,2,62
Suzanne Vega,US,1,62
Voyage (band),FR,1,62
Yeek,US,1,62
Afrojack,NL,2,61
Chance The Rapper,US,2,61
Clio,FR,1,61
HNNY,SE,1,61
Honne & Tom Misch,GB,1,61
Images,FR,1,61
Jordan Clarke,GB,1,61
Les Rita Mitsouko,FR,2,61
Marc Lavoine,FR,2,61
Parade of Lights,US,1,61
Sable,UA,1,61
Surfaces,US,1,61
Tobtok,SE,1,61
Desire,FR,1,60
Florence & The Machine,GB,1,60
Hovey Benjamin,US,1,60
Keane,GB,3,60
Mumford & Sons,GB,1,60
Noir Désir,FR,1,60
"Tyler, The Creator",US,2,60
Action Bronson,US,1,59
Carla Bruni,FR,2,59
Christophe Maé,FR,2,59
Duke Ellington,US,1,59
James,GB,1,59
Korn,US,2,59
Luis Fonsi,PR,1,59
Luna Blue,GB,1,59
Makoto Matsushita,JP,1,59
Nina Sky,US,1,59
OMC,GB,1,59
Sidney Bechet,US,1,59
T.I,,1,59
Terence Trent D'Arby,US,1,59
Vance Joy,AU,1,59
AronChupa,SE,1,58
Babe & Night Tempo,KR,1,58
De Palmas,FR,1,58
Discobitch,FR,1,58
Ed Sheeran,US,3,58
Flamingosis,US,1,58
Jill Scott,US,1,58
Las Ketchup,ES,1,58
Miami Horror,AU,1,58
Michael Franti & Spearhead,US,1,58
Mr Probz,DE,1,58
Peter Cetera,US,1,58
The Corrs,GB,1,58
The Whispers,US,2,58
Akina Nakamori,JP,1,57
Busted,GB,2,57
Cannons,US,1,57
Dominic Pierce,FR,1,57
Five for Fighting,US,3,57
Georgie Fame & the Blue Flames,GB,1,57
Joy Crookes,GB,1,57
Kaaris & Kalash Criminel,FR,1,57
Mystery Skulls,US,1,57
Naturi Naughton,US,1,57
RITCHRD,US,1,57
Sky Bachi,US,1,57
The Drives,US,1,57
The Tokens,US,1,57
Cartoon Network,US,2,56
Damn Arms,AU,1,56
Less than Jake,US,1,56
Nelly,US,1,56
Sam Cooke,US,1,56
Squid Game,KR,1,56
The Black Eyed Peas,US,5,56
The Monroes,US,1,56
The Republic Tigers,US,2,56
The Trammps,US,1,56
Blue Swede,SE,1,55
Crazy Girl & Memphis,FR,1,55
Gaullin,LT,1,55
Janet Jackson,US,1,55
Julio Iglesias,ES,1,55
Men at Work,AU,2,55
Mickael Miro,FR,1,55
Polo & Pan et Metronomy,FR,1,55
