year_added,primary_artist,songs,plays
2022,Moondough,1,196
2022,Night Tempo,2,192
2022,Videoclub,1,180
2022,Gryffin,1,179
2022,Badfinger,2,175
2022,Saint Pepsi,2,174
2022,Mr.Vtage,1,164
2022,Baddiel Skinner,1,149
2022,M.A.G.S,1,146
2022,Ginger Root,3,145
2022,Mariya Takeuchi,2,141
2022,Engelbert Humperdinck,1,134
2022,Davioux,1,131
2022,Kate Bush,1,130
2022,Sting,1,128
2022,September,1,126
2022,Lola Disco,2,124
2022,Yurie Kokubu,1,119
2022,Polo & Pan,2,114
2022,Swum,1,112
2022,Crystal Atlantic,1,111
2022,Skibblez & My NamE,1,106
2022,Dreamboy 84,1,101
2022,Junko Ohashi,2,100
2022,Soulitune,2,99
2022,Last Dinosaurs,1,93
2022,Therapie Taxi,1,93
2022,Soul Bells & MACROSS 82-99,1,92
2022,Tipling Rock,2,92
2022,Ehrling,1,91
2022,Bon Entendeur,1,89
2022,Sonia Rosa & Night Tempo,1,89
2022,"Ozuna, RedOne  & Maitre Gims",1,88
2022,Nayla & Bon Entendeur,1,86
2022,Soliterre,1,86
2022,Ceruleancerise,1,85
2022,Dire Straits,1,84
2022,IdChief,1,84
2022,Future Girlfriend,1,83
2022,Molchat Doma,1,83
2022,George Michael,1,82
2022,Niall Horan & Anne-Marie,1,82
2022,Our Samplus & Bon Entendeur,1,81
2022,The Strokes,1,79
2022,Aritus,2,76
2022,KC & The Sunshine Band,1,76
2022,Leon Haywood & Bon Entendeur,1,73
2022,Internet Affairs,1,72
2022,Billy Walker,1,71
2022,Bobby Bare,1,70
2022,Takako Mamiya,1,67
2022,Tomoko Aran,1,66
2022,Early Eyes,2,65
2022,Late Night Tuff Guy & Bon Entendeur,1,65
2022,Max Frost,1,65
2022,Skibblez & DeeJMD,1,65
2022,The F16s,1,64
2022,Makoto Matsushita,1,59
2022,Toshiki Kadomatsu,1,59
2022,Babe & Night Tempo,1,58
2022,Cold(Artist),1,58
2022,Lady GaGa,1,58
2022,Akina Nakamori,1,57
2022,RITCHRD,1,57
2022,Tanuki,1,53
2022,Austenyo,1,52
2022,Temporex,1,52
2022,Kid Smoko,1,51
2022,Taeko Ohnuki,1,50
2022,Lovejoy,1,49
2022,Soft Palace,1,48
2022,The Booyah! Kids,1,48
2022,Jazz Trio Loop,1,47
2022,Junko Yagami,1,47
2022,MACROSS 82-99,1,47
2022,Takeuchi Mariya & Night Tempo,1,46
2022,They Might Be Giants,1,46
2022,Various Artists,2,45
2022,The Association,1,44
2022,Pop Up!,1,43
2022,Vansire,1,43
2022,Zeeky Beats,1,43
2022,Donny Electric,1,42
2022,Lee(artist),1,42
2022,Evergreen,1,41
2022,Lukrembo,1,41
2022,Bob Dylan,1,40
2022,Monamie,1,39
2022,TUPPERWAVE,1,39
2022,Alexander Rybak,1,38
2022,Touchstone,1,38
2022,Her's,1,37
2022,Iden Kai,1,37
2022,Jennie (from BlackPink),1,36
2022,classic.files,1,36
2022,Flatsound,1,34
2022,S.I.R Please,1,34
2022,David Guetta,1,33
2022,Nelward,1,33
2022,yuugen & Brayan Rojitas,1,32
2022,Johnny Stimson,1,31
2022,Jovelli,1,31
2022,Zedd,1,31
2022,Branbal & Home,1,30
2022,deadmau5,1,29
2022,Madonna,1,28
2022,Memorex Memories,2,28
2022,Ambassador,1,27
2022,Housecall,1,26
2022,Skule Toyama,1,26
2022,Voyage,2,26
2022,Meiko Nakahara,1,25
2022,憂鬱,2,25
2022,Hotel Pools,2,24
2022,Nick Lowe,1,24
2022,Cherub,1,23
2022,Electric Guest,1,22
2022,Francci,1,22
2022,Jonas Brothers,1,22
2022,Nicky Youre & Dazy,1,22
2022,Daft Punk,1,21
2022,The Devils Sway,1,21
2022,90sFlav,1,19
2022,Astro,1,19
2022,Bread & Butter,1,18
2022,The Outcast Owl & Home,1,17
2022,Daniele Vitale Sax,1,16
2022,Forhill,1,16
2022,Gemini Drive,1,16
2022,Animal Kingdom,1,15
2022,LuigiDonatello & Home,1,15
2022,Overcrest,1,13
2022,Zane Alexander,1,12
2022,Kamari Carter,1,10
2022,Stiig,1,10
2021,Bon Entendeur,3,594
2021,The Weeknd,4,587
2021,Polo & Pan,5,515
2021,Kungs,3,460
2021,Synapson,4,383
2021,Daft Punk,4,362
2021,Electric Light Orchestra,2,354
2021,Die Woodys,2,349
2021,Lost Frequencies  & Kungs,1,330
2021,Guts,4,319
2021,Regard,2,311
2021,.EEhou,3,310
2021,Maroon 5,2,307
2021,Lost Frequencies  & Janieck Devy,2,300
2021,Air Supply,1,298
2021,Sacha Distel,1,289
2021,Dim Zach,1,283
2021,The Avener & M.I.L.K.,1,281
2021,All Hail the Silence,1,277
2021,Matchbox Twenty,3,266
2021,Daft Punk (Thomas Bangalter & DJ Falcon as Together),1,255
2021,Tal (artist),1,253
2021,Tony Igy,2,252
2021,Dansu,3,251
2021,Boy Pablo,3,234
2021,Dua Lipa,3,234
2021,Flovry & Tender Spring,2,218
2021,Gilbert Bécaud,1,214
2021,Lifelike,1,213
2021,Wünsche,2,211
2021,Paradis,2,209
2021,Doja Cat,3,206
2021,Gilbert O'Sullivan,1,206
2021,Lomtre,2,206
2021,Charles Aznavour,2,205
2021,Britney Spears,4,204
2021,Conan Gray,1,201
2021,Kid Francescoli,2,201
2021,The Rolling Stones,1,201
2021,Pet Shop Boys,1,195
2021,Therapie Taxi,2,191
2021,Bealby Point,1,186
2021,Dayglow,3,170
2021,Noah Chenfeld,2,165
2021,"Elton John, Dua Lipa",1,161
2021,Coldplay,1,155
2021,COEO,1,150
2021,Ava Max,1,148
2021,Alan Walker,1,146
2021,Weezer,1,146
2021,Fiji Blue,1,145
2021,Sofiane,1,144
2021,Sexy Pigeon,1,141
2021,Soso maness,1,139
2021,Vansire,1,138
2021,Billy Joel,2,137
2021,She Said Disco,1,136
2021,The King's Parade,1,135
2021,Siboy,1,134
2021,Tove Lo,1,133
2021,Krystal Klear,2,131
2021,Cold(Artist),1,126
2021,Hunter,1,126
2021,Dj Antoine & The Beat Shakers,1,125
2021,F.R. David,1,125
2021,Francoise Hardy,1,124
2021,Tessa Violet,1,124
2021,Limahl,1,122
2021,Steve Winwood,1,122
2021,Taco!,1,122
2021,Lewis Capaldi,1,121
2021,Feder,1,120
2021,Tame Impala,1,118
2021,Blue Oyster Cult,1,117
2021,Linkin Park,2,117
2021,Pretty Lights,1,116
2021,Soolking,1,116
2021,Blackguyrandy,1,114
2021,Riton,2,111
2021,Sarcastic Sounds,1,111
2021,Spencer hunt,1,111
2021,Last Dinosaurs,2,109
2021,The Magnetic Fields,1,108
2021,Yann Dulché,1,107
2021,Vegedream,1,106
2021,Young the Giant,1,106
2021,I'm Surf,1,105
2021,Gesaffelstein,1,104
2021,Sabrina Carpenter,1,104
2021,Beastie Boys,1,103
2021,Jen(Artist),1,103
2021,Jishle,1,103
2021,Naïka,1,103
2021,Johve,1,102
2021,Topic & Bebe Rexha,1,102
2021,Vector Graphics,1,102
2021,Jawny,1,101
2021,Fantompower,1,100
2021,Jason Derulo,1,100
2021,Shaga,1,100
2021,Heizzah,1,99
2021,Mell-o,1,99
2021,Michel Delpech,1,99
2021,No Buses,1,99
2021,Soitchy,1,99
2021,Tony Stocker,1,99
2021,Wulf Morpheus,1,98
2021,Dolly Parton,1,97
2021,Jordy Chandra,1,97
2021,Miguel Bose,1,97
2021,Mommy,1,97
2021,Nino Ferrer,1,97
2021,Scatman John,1,97
2021,Hoogway,1,95
2021,Kosibeats,1,95
2021,Brillion,1,93
2021,Iro(Artist),1,93
2021,Tabal(Artist),1,93
2021,Pas Sages,1,92
2021,Claire Laffut,1,91
2021,Toonorth,1,91
2021,Animotion,1,87
2021,Harry Nillson,1,86
2021,Johnny Cash,1,86
2021,MACROSS 82-99,1,86
2021,SunStroke Project & Olia Tira,1,86
2021,Billie Eilish,1,85
2021,Escort,1,85
2021,P!nk,1,85
2021,Stan Getz & Joao Gilberto,1,85
2021,Todd Rundgren,1,85
2021,Candid,1,84
2021,Electric Guest,1,80
2021,Gotan Project,1,80
2021,Jean Ferrat,1,80
2021,Le Maitre,1,80
2021,Kaoma,1,79
2021,L'Impératrice,1,79
2021,Supertramp,1,79
2021,BTS,1,78
2021,PNL,1,78
2021,Sade,1,78
2021,Toybox,1,78
2021,Vantage,1,78
2021,Alain Bashung,1,77
2021,"Myth Syzer (Ft. Bonnie Banane, Ichon & Muddy Monk)",1,77
2021,Public(Band),1,77
2021,Tiesto,1,77
2021,Poolside,1,76
2021,Arcade Fire,1,75
2021,Daniel Powter,1,75
2021,FUR,1,75
2021,Floating Points,1,75
2021,Glass Animals,1,75
2021,Gael Faye,1,74
2021,Kali Uchis,1,74
2021,Richard Marx,2,74
2021,Beach House,1,73
2021,BradBroooks,1,73
2021,Pascal Letoublon,1,73
2021,Vicetone,1,73
2021,Johnny Jane,1,70
2021,Peach Tree Rascals,1,70
2021,The Beatles,1,70
2021,John Grant,1,69
2021,Juniore,1,69
2021,Naps,1,69
2021,OrelSan & Damso,1,68
2021,Pony Pony Run Run,1,68
2021,The Velvet Underground,1,68
2021,Miel De Montagne,1,67
2021,Nytron & Sugar Hill,1,67
2021,24kGoldn,1,66
2021,Bearson & Lemaitre,1,66
2021,Cherie,1,66
2021,Kanye West,1,66
2021,Knightlife,1,66
2021,MGMT,1,66
2021,Simon,1,66
2021,Charlie Faron,1,65
2021,Rocketman,1,65
2021,Augie Rios,1,64
2021,Bella Poarch,1,64
2021,Kid Cudi,1,64
2021,Offenbach,1,62
2021,Suzanne Vega,1,62
2021,Tom Misch,1,62
2021,Yeek,1,62
2021,Clio,1,61
2021,Honne & Tom Misch,1,61
2021,Surfaces,1,61
2021,Florence & The Machine,1,60
2021,Luna Blue,1,59
2021,OMC,1,59
2021,Terence Trent D'Arby,1,59
2021,Discobitch,1,58
2021,Miami Horror,1,58
2021,Sza,1,58
