artist_raw,primary_artist,songs,plays
Cigarettes After Sex & Klesh,Cigarettes After Sex,1,199
Cigarettes After Sex,Cigarettes After Sex,1,11
Cilla Black,Cilla Black,1,16
Cirque du Soleil,Cirque du Soleil,1,18
Claire Laffut,Claire Laffut,1,91
Claire Rosinkranz,Claire Rosinkranz,1,17
Claptone,Claptone,1,101
Clara Luciani,Clara Luciani,2,178
Claude François,Claude François,3,210
Claude François & Fred Falke,Claude François,1,93
"Claude François, Frédérique","Claude François, Frédérique",1,137
"Claude François, G. Thibault, J. Revaux & Paul Anka","Claude François, G. Thibault, J. Revaux & Paul Anka",3,94
Claude Nougaro,Claude Nougaro,2,129
Clean Bandit & Demi Lovato,Clean Bandit,1,311
Clean Bandit,Clean Bandit,2,113
Clio,Clio,1,61
Cobra Starship,Cobra Starship,1,18
Coke Royalty,Coke Royalty,1,65
Colbie Caillat,Colbie Caillat,1,51
Cold(Artist),Cold(Artist),2,184
Coldplay,Coldplay,28,1779
Coldplay & BTS,Coldplay,1,155
Coldplay / Mathew Heyer,Coldplay,1,59
Coldplay/Rogue,Coldplay/Rogue,1,27
College ft. Electric Youth,College,1,79
Collegehumor,Collegehumor,2,40
Conan Gray,Conan Gray,2,217
Connie Francis,Connie Francis,1,15
Cookie Dingler,Cookie Dingler,1,51
Coolio,Coolio,1,7
Coolio featuring L.V.,Coolio featuring L.V.,1,14
Coralie Clément,Coralie Clément,1,31
Corey Hart,Corey Hart,1,14
Counting Crows,Counting Crows,2,62
Cour De Recré,Cour De Recré,1,230
Crazy Frog,Crazy Frog,1,19
Crazy Girl & Memphis,Crazy Girl & Memphis,1,55
Crazy Town,Crazy Town,1,11
Creed,Creed,1,22
Creedence Clearwater Revival,Creedence Clearwater Revival,2,89
Cro,Cro,1,18
Crystal Atlantic,Crystal Atlantic,1,111
Crystal Castles,Crystal Castles,2,19
Crystal Waters,Crystal Waters,1,11
Culture Club,Culture Club,1,36
Cut Copy,Cut Copy,1,34
Cut Killer,Cut Killer,1,23
Cyndi Lauper,Cyndi Lauper,2,23
Cypress Hill,Cypress Hill,2,40
D12,D12,1,85
DB Boulevard,DB Boulevard,1,23
DEEJMD,DEEJMD,1,265
DIMMI,DIMMI,1,35
DIVA FAUNE x STEPHANE,DIVA FAUNE,1,125
"DJ Alex Man, PHURS, Andreea Flavia","DJ Alex Man, PHURS, Andreea Flavia",1,220
DJ Antoine & Timati,DJ Antoine,1,180
DJ Antoine,DJ Antoine,1,27
DJ BOBO,DJ BOBO,1,17
DJ Earthworm,DJ Earthworm,2,27
DJ Fresh,DJ Fresh,1,17
DJ Khaled feat. Rihanna,DJ Khaled,1,43
DJ Mehdi,DJ Mehdi,2,210
DJ Sammy & Yanou featuring Do,DJ Sammy & Yanou featuring Do,1,34
DNCE,DNCE,1,44
DVBBS & Borgeous,DVBBS & Borgeous,1,15
DaJugglingFool,DaJugglingFool,1,95
Dada Life,Dada Life,6,129
Daddy DJ,Daddy DJ,1,33
Daddy Yankee,Daddy Yankee,3,294
Daft Punk,Daft Punk,79,3386
Daft Punk and Giorgio Moroder,Daft Punk,1,151
Daft Punk & Pharrell Williams,Daft Punk,2,130
Daft Punk & Paul Williams,Daft Punk,2,88
Daft Punk & Queen,Daft Punk,1,68
Daft Punk vs Justice,Daft Punk,1,59
Daft Punk & Jay Z,Daft Punk,1,51
Daft Punk & Michael Jackson,Daft Punk,1,44
Daft Punk Vs The World,Daft Punk,1,38
Daft Punk & Todd Edwards,Daft Punk,2,25
Daft Punk and Dillon Francis,Daft Punk,1,22
Daft Punk & Panda Bear,Daft Punk,1,17
Daft Punk & Paul Mund,Daft Punk,1,16
Daft Punk & Julian Casablancas,Daft Punk,1,11
Daft Punk & The Weeknd,Daft Punk,1,8
Daft Punk (Thomas Bangalter & DJ Falcon as Together),Daft Punk (Thomas Bangalter & DJ Falcon as Together),1,255
"Daft Punk, Julian Casablancas & The Voidz","Daft Punk, Julian Casablancas & The Voidz",1,103
"Daft Punk, Pharrell Williams & Nile Rodgers","Daft Punk, Pharrell Williams & Nile Rodgers",2,48
Dagny,Dagny,1,140
Dalida,Dalida,1,82
Dalida y Alain Delon,Dalida y Alain Delon,1,104
Damn Arms,Damn Arms,1,56
Damso,Damso,2,91
Danger,Danger,1,62
Dania Bartolomeo,Dania Bartolomeo,1,12
Daniel Balavoine,Daniel Balavoine,4,247
Daniel Guichard,Daniel Guichard,1,64
Daniel Powter,Daniel Powter,1,75
Daniele Vitale Sax,Daniele Vitale Sax,1,16
Danny Brilliant,Danny Brilliant,1,109
Dansu,Dansu,3,251
Danzel,Danzel,1,24
Darius,Darius,3,88
Darude,Darude,2,32
Darude/Ville Virtanen,Darude/Ville Virtanen,1,21
Das Tapes,Das Tapes,1,17
Dave Loggins,Dave Loggins,1,64
David Bowie,David Bowie,6,194
David Bowie & Queen,David Bowie,1,23
David Cassidy,David Cassidy,1,173
David Gates,David Gates,1,47
David Guetta,David Guetta,18,657
David Guetta & OneRepublic,David Guetta,1,69
David Guetta & Usher,David Guetta,1,44
David Guetta vs Madonna,David Guetta,1,40
David Guetta & Bebe Rhexa,David Guetta,1,33
David Guetta & Chris Willis,David Guetta,1,19
David Guetta featuring JD Davis,David Guetta featuring JD Davis,2,35
David Lee Roth,David Lee Roth,1,27
David Tavaré,David Tavaré,1,37
Davioux and Desired,Davioux,1,131
Dayglow,Dayglow,4,264
Daze,Daze,1,85
De Palmas,De Palmas,1,58
De Soffer & Les Bisous,De Soffer & Les Bisous,1,63
Dead or Alive,Dead or Alive,3,252
Deadmau5,Deadmau5,4,79
Dean Martin,Dean Martin,2,29
Death From Above 1979,Death From Above 1979,1,24
Declan McKenna,Declan McKenna,1,135
Deep Purple,Deep Purple,1,10
Degiheugi,Degiheugi,1,37
Del Amitri,Del Amitri,1,15
Delegation,Delegation,1,18
Demon,Demon,1,259
Deorro,Deorro,1,83
Depeche Mode,Depeche Mode,6,135
Derek & The Dominos,Derek & The Dominos,1,138
Dertay,Dertay,1,73
Desiigner,Desiigner,1,49
Desire,Desire,1,60
Desired,Desired,4,329
Desireless,Desireless,1,18
Destiny's Child,Destiny's Child,1,22
Dev,Dev,1,8
Devendra Banhart,Devendra Banhart,1,29
